fecha,linea,afluencia_total,afluencia_promedio
2018-08-06,Línea 8,375087,20838.166666666668
2019-10-05,Línea 6,127202,11563.818181818182
2017-03-06,Línea 8,403089,21215.21052631579
2017-03-28,Línea A,321864,32186.4
2017-03-26,Línea 3,370536,17644.571428571428
2017-03-15,Línea 7,306057,25504.75
2019-05-18,Línea A,163266,16326.6
2018-10-31,Línea 7,279253,25386.636363636364
2018-10-31,Línea 5,238182,19848.5
2018-10-09,Línea 2,841321,35055.041666666664
2013-08-11,Línea 3,339576,16978.8
2013-08-26,Línea 3,765400,36447.619047619046
2016-08-20,Línea 3,593565,28265.0
2016-08-06,Línea B,414717,19748.428571428572
2016-08-01,Línea B,442881,21089.571428571428
2016-08-08,Línea 9,318025,28911.363636363636
2017-12-09,Línea 4,105238,10523.8
2017-12-20,Línea A,297750,29775.0
2017-12-29,Línea 6,117010,10637.272727272728
2017-08-28,Línea 2,772862,32202.583333333332
2016-10-22,Línea 8,389467,20498.263157894737
2016-10-15,Línea 4,88388,8838.8
2019-08-04,Línea B,409011,20450.55
2013-10-01,Línea 4,96420,9642.0
2013-10-03,Línea 7,342461,24461.5
2013-10-29,Línea 6,174469,15860.818181818182
2013-01-31,Línea 6,159514,14501.272727272728
2019-05-10,Línea 6,88249,8824.9
2013-08-06,Línea A,277592,27759.2
2016-12-27,Línea 12,259703,13668.578947368422
2016-12-25,Línea 3,212749,10637.45
2013-07-30,Línea 12,267595,14083.947368421053
2013-07-01,Línea 4,79385,7938.5
2013-07-18,Línea 4,82019,8201.9
2019-10-23,Línea 5,157636,13136.333333333334
2017-03-19,Línea 1,476613,23830.65
2019-05-18,Línea 4,66775,7419.444444444444
2018-10-21,Línea 2,473385,20581.956521739132
2018-10-15,Línea 1,728406,36420.3
2013-08-20,Línea 1,825633,41281.65
2013-08-22,Línea 3,791295,39564.75
2013-05-22,Línea 12,284118,14205.9
2013-05-08,Línea 6,170080,15461.818181818182
2013-05-13,Línea 5,251956,19381.23076923077
2016-05-10,Línea 12,280878,14043.9
2017-12-01,Línea 12,412207,20610.35
2017-12-31,Línea 1,322469,16123.45
2016-10-23,Línea 1,494049,24702.45
2016-10-23,Línea 3,379144,18054.47619047619
2019-08-10,Línea 1,687620,34381.0
2019-08-25,Línea 7,137275,9805.357142857143
2013-10-07,Línea 3,800810,38133.80952380953
2013-01-23,Línea 2,897222,37384.25
2019-05-07,Línea 8,382107,20110.894736842107
2016-12-05,Línea B,444566,23398.21052631579
2016-12-20,Línea 5,251561,19350.846153846152
2016-12-10,Línea 8,396372,20861.684210526317
2018-08-05,Línea 8,214632,11296.421052631578
2018-08-19,Línea 8,227010,11947.894736842105
2018-08-19,Línea 7,121883,8705.92857142857
2018-08-28,Línea 6,164728,14975.272727272728
2018-08-24,Línea 6,163297,14845.181818181818
2019-10-29,Línea 7,371723,26551.64285714286
2019-10-08,Línea 1,642565,32128.25
2017-03-18,Línea 3,619354,29493.04761904762
2017-03-30,Línea 1,742180,37109.0
2019-05-18,Línea 2,691298,30056.434782608696
2019-05-16,Línea A,206151,20615.1
2018-10-19,Línea 9,347635,28969.583333333332
2018-10-10,Línea 6,176359,16032.636363636364
2018-10-28,Línea 6,73044,6640.363636363636
2018-10-16,Línea 7,351508,25107.714285714286
2013-08-20,Línea 3,807382,38446.76190476191
2013-08-23,Línea 6,174170,15833.636363636364
2016-08-14,Línea 6,73598,6690.727272727273
2013-05-22,Línea 5,253738,19518.30769230769
2013-05-09,Línea 4,98247,9824.7
2017-12-05,Línea 2,951483,39645.125
2017-12-04,Línea 5,264777,20367.46153846154
2017-12-23,Línea 3,468257,23412.85
2017-08-11,Línea 2,853009,37087.34782608696
2019-08-01,Línea 9,272297,24754.272727272728
2013-10-29,Línea 1,751738,39565.15789473684
2013-01-17,Línea 7,382467,25497.8
2013-08-04,Línea B,312144,15607.2
2016-12-06,Línea 9,358053,29837.75
2016-12-07,Línea 12,356378,18756.736842105263
2013-07-06,Línea A,202673,20267.3
2019-10-19,Línea 6,118440,10767.272727272728
2017-03-27,Línea A,327616,32761.6
2019-05-26,Línea 5,147038,11310.615384615385
2019-05-07,Línea 9,297153,24762.75
2018-10-24,Línea 4,86282,9586.888888888889
2013-08-28,Línea 6,160435,16043.5
2016-08-09,Línea 7,340670,24333.571428571428
2016-08-19,Línea A,325337,36148.555555555555
