linea,estacion,afluencia_total,ranking_global
LÁÑNEA 12,Mexicaltzingo,2295406,373
LÁÑNEA 4,Consulado,2287758,374
LÁÑNEA 12,Zapata,1964789,375
LÁÑNEA 12,Perifáórico Oriente,1916407,376
LÁÑNEA 12,Mixcoac,1789033,377
LÁÑNEA 6,Instituto Del Petráéleo,1777515,378
LÁÑNEA 12,Tezonco,1623999,379
LÁÑNEA 12,Nopalera,1619653,380
LÁÑNEA 12,Hospital 20 De Noviembre,1595853,381
LÁÑNEA 12,Eje Central,1534393,382
LÁÑNEA 12,Ermita,1490142,383
LÁÑNEA 12,Parque De Los Venados,1384711,384
LÁÑNEA 4,Santa Anita,1257096,385
LÁÑNEA 12,Culhuacáén,1179625,386
LÁÑNEA 12,Olivos,1105981,387
LÁÑNEA 12,Calle 11,994257,388
LÁÑNEA 12,Zapotitláén,960815,389
LÁÑNEA 6,Deportivo 18 De Marzo,920335,390
LÁÑNEA 12,San Andráós Tomatláén,628588,391
LÁÑNEA 12,Lomas Estrella,545971,392
LÁÑNEA 12,Tlaltenco,301594,393
