año,mes,linea,afluencia_total,afluencia_promedio_diaria
2016,7,Línea B,12025781,18998.074249605055
2016,7,Línea 1,21764302,35679.18360655737
2016,7,Línea 4,2396062,7779.422077922078
2018,1,Línea 4,2477808,8097.411764705882
2017,1,Línea 2,22471538,30656.94133697135
2012,12,Línea A,6998016,22944.31475409836
2013,3,Línea A,7153231,23376.571895424837
2018,5,Línea 2,23026604,31457.109289617485
2017,5,Línea 6,4182960,12599.277108433735
2017,5,Línea 2,22865306,31451.59009628611
2020,1,Línea 8,10689619,18526.202772963607
2016,7,Línea 12,8002088,13139.717569786535
2013,3,Línea 2,23811690,32663.49794238683
2017,1,Línea 12,9134364,15173.362126245847
2020,1,Línea 7,8705357,20387.25292740047
2019,7,Línea 2,21735080,29733.351573187414
2018,1,Línea 2,22221922,30482.74622770919
2016,1,Línea 5,6651697,16797.214646464647
2016,1,Línea 12,7515797,12402.305280528053
2013,12,Línea 4,2734283,9024.036303630362
2019,7,Línea A,6339371,20991.294701986753
2018,5,Línea 11,26028,13014.0
2019,12,Línea 8,10817545,18715.47577854671
2015,12,Línea 7,8167269,18993.6488372093
2016,1,Línea 6,3994193,11747.626470588235
2015,12,Línea 1,22459532,37000.87644151565
2018,3,Línea 6,4234158,12490.141592920354
2017,7,Línea 1,21261753,34741.42647058824
2017,5,Línea 3,19741771,30991.79120879121
2018,5,Línea 1,19902893,32951.80960264901
2019,3,Línea 2,21716689,29871.6492434663
2020,1,Línea A,6488465,21628.216666666667
2017,5,Línea 4,2507233,8247.47697368421
2018,3,Línea 3,18886633,29281.601550387597
2019,12,Línea 5,6114273,15440.083333333334
2017,1,Línea 3,17847329,28061.838050314465
2019,12,Línea 4,2506181,8084.4548387096775
2014,1,Línea 5,6951147,17509.186397984886
2017,1,Línea 1,20441731,33843.92549668874
2018,1,Línea 3,18414561,28772.7515625
2017,7,Línea 9,9275720,25412.931506849316
2019,12,Línea 12,10741389,17465.67317073171
2019,7,Línea 8,10724492,18716.39092495637
2014,1,Línea 12,7692283,12735.567880794702
2013,12,Línea 8,10623630,18379.982698961936
2019,7,Línea 6,3908964,11703.48502994012
2017,5,Línea 8,11193176,19432.597222222223
2013,3,Línea 1,20218945,33364.59570957096
2012,12,Línea 3,18119804,28490.25786163522
2018,3,Línea 1,18941249,31463.86877076412
2020,1,Línea B,12008883,18763.8796875
2017,5,Línea 12,10032019,16445.932786885245
2014,1,Línea 6,3803620,11388.08383233533
2017,5,Línea A,8206757,27355.856666666667
2018,1,Línea 8,10538751,18264.733102253034
2017,5,Línea 7,8896757,20642.127610208816
2018,5,Línea 6,4293243,12892.621621621622
2012,12,Línea 2,24398301,33331.012295081964
2016,1,Línea B,12762836,19941.93125
2014,1,Línea 11,81501,27167.0
2019,3,Línea 4,2482035,8058.555194805195
2019,7,Línea 3,17182676,27102.01261829653
2012,12,Línea 12,5673945,9409.52736318408
2017,7,Línea 8,10503065,18108.73275862069
2018,3,Línea 9,9129307,25288.939058171745
2020,1,Línea 2,21517520,29156.53116531165
2019,7,Línea 12,10963129,17855.25895765472
2018,3,Línea 12,9878176,16327.563636363637
2013,3,Línea 3,19178690,30442.365079365078
2018,5,Línea B,12790164,20141.9905511811
2017,7,Línea B,11982171,18869.56062992126
2016,1,Línea 9,9108024,25160.28729281768
2019,3,Línea A,6469590,21073.58306188925
2019,7,Línea 7,8981475,20935.83916083916
2018,3,Línea 11,19735,9867.5
2018,5,Línea 5,7208945,18158.551637279597
2017,1,Línea 7,8716763,20366.268691588786
2016,7,Línea 9,9314712,25380.686648501363
2017,5,Línea 11,10499,5249.5
2012,12,Línea 7,6867762,15971.539534883721
2013,3,Línea B,13336429,20740.947122861588
2018,1,Línea 9,9212434,25239.54520547945
2012,12,Línea 8,10370433,17941.925605536333
2013,3,Línea 8,10646364,18515.415652173913
2015,12,Línea 12,7435454,12189.268852459016
2017,7,Línea 2,22159879,30273.0587431694
2019,3,Línea 1,19531696,31966.76923076923
2019,3,Línea 6,4157837,12374.514880952382
2017,5,Línea 5,7326613,18362.43859649123
2017,5,Línea 1,20793523,34256.21581548599
2019,7,Línea B,12330215,19326.35579937304
2020,1,Línea 1,19054302,31339.3125
2016,1,Línea A,7761470,25447.44262295082
2019,3,Línea 3,18128827,28370.621283255085
2013,12,Línea 1,21972396,36258.07920792079
2012,12,Línea 11,111971,37323.666666666664
2017,1,Línea 4,2531068,8271.464052287582
2017,1,Línea 5,6618846,16588.586466165412
2017,7,Línea 4,2474500,8139.8026315789475
2013,12,Línea 5,6355679,16090.326582278482
2013,12,Línea A,5870299,19246.881967213114
2017,7,Línea 12,9365709,15531.855721393034
2019,12,Línea 3,16885283,26590.9968503937
2013,12,Línea 11,6849,6849.0
2019,12,Línea A,6292786,20768.270627062706
2018,5,Línea 3,19241083,30205.78178963893
2017,5,Línea 9,9614402,26268.857923497268
2019,3,Línea 7,8634495,20364.375
2018,1,Línea A,7968937,26563.123333333333
2018,3,Línea 8,11015307,18991.908620689654
2018,5,Línea 8,11194246,19400.772963604853
2017,1,Línea 11,22648,11324.0
2012,12,Línea 1,21457851,35350.660626029654
2013,12,Línea 6,3897796,11531.940828402367
2018,1,Línea 7,8334308,19472.682242990653
2018,1,Línea 5,6770290,17139.974683544304
2019,12,Línea 11,6317,6317.0
2018,5,Línea 4,2558239,8387.668852459017
2018,1,Línea B,11870972,18665.05031446541
