año,mes,linea,afluencia_total,afluencia_promedio_diaria
2026,2,Línea 3,13662040,23555.241379310344
2024,6,Línea 8,9786890,17762.050816696916
2021,10,Línea 9,6037474,16632.159779614325
2022,5,Línea 1,13645106,22259.553017944534
2022,1,Línea 7,4296613,10062.325526932083
2010,7,Línea A,6677757,22259.19
2021,12,Línea A,5218251,17221.950495049507
2026,2,Línea B,9518106,16354.134020618556
2012,8,Línea 3,21685034,33777.31152647975
2022,3,Línea 3,13007017,20323.4640625
2011,7,Línea 7,8032802,18637.591647331785
2012,8,Línea 5,6714497,16702.728855721394
2012,7,Línea B,13199252,20753.540880503144
2022,1,Línea 2,10844764,14754.780952380952
2021,5,Línea 3,8921860,14390.09677419355
2021,10,Línea 6,2302301,6852.086309523809
2024,6,Línea 6,2957748,9271.937304075234
2012,8,Línea 9,9872876,27123.285714285714
2021,10,Línea A,5202530,16946.351791530946
2010,7,Línea 2,22971770,31296.689373297002
2012,7,Línea 1,22275767,36880.40894039735
2024,6,Línea 7,6761670,16411.820388349515
2026,2,Línea 4,1903460,6896.594202898551
2022,3,Línea A,5716439,18559.866883116883
2022,3,Línea 9,6839156,18635.302452316075
2023,7,Línea 3,13444853,21007.5828125
2011,7,Línea 2,25602381,34833.171428571426
2023,11,Línea A,5669411,19153.41554054054
2022,1,Línea 3,10212687,15687.691244239631
2010,1,Línea 2,20977478,28696.960328317375
2021,7,Línea A,4534897,15166.879598662208
2022,5,Línea 8,9220335,15979.783362218372
2022,1,Línea B,7804945,12330.086887835703
2023,7,Línea 6,3040721,9022.910979228487
2023,11,Línea 4,2149709,7238.077441077441
2021,10,Línea 5,4160822,10428.125313283208
2012,8,Línea B,14268862,22329.987480438183
2021,12,Línea 7,5039561,11998.954761904763
2026,2,Línea 2,15095439,23152.51380368098
2024,6,Línea 4,1922909,6562.829351535836
2021,10,Línea 11,28079,14039.5
2020,4,Línea 6,1231660,3910.031746031746
2021,10,Línea 7,5005783,11695.754672897196
2010,1,Línea 6,3002223,8908.673590504452
2012,7,Línea 3,19149836,29968.444444444445
2010,1,Línea 8,10254523,17833.95304347826
2011,7,Línea 3,18599991,29107.967136150233
2011,7,Línea 9,8417802,23318.01108033241
2022,3,Línea 7,5467862,12926.387706855792
2023,7,Línea A,5988318,19633.829508196723
2023,7,Línea 2,16588692,22600.39782016349
2011,7,Línea B,12865875,20229.36320754717
2026,2,Línea A,6014785,21951.770072992702
2022,1,Línea 1,11820202,19219.840650406502
2020,4,Línea 4,788879,2954.602996254682
2022,5,Línea 11,56272,14068.0
2012,8,Línea 7,8319302,19667.38061465721
2021,5,Línea 5,3637191,9278.548469387755
2022,3,Línea 6,2839267,8450.199404761905
2011,7,Línea 6,4089163,12134.014836795252
2026,2,Línea 5,4455373,12445.175977653631
2023,11,Línea 2,16579058,23416.748587570622
2023,11,Línea 9,7654405,21561.704225352114
2022,1,Línea 5,3824678,9732.005089058524
2012,7,Línea 4,2443269,7984.5392156862745
2021,12,Línea 5,4472051,11496.275064267353
2022,3,Línea 4,1826095,5948.192182410424
2012,7,Línea 2,25130038,34190.52789115646
2022,1,Línea 8,7495933,13013.772569444445
2012,8,Línea 4,2651365,8693.0
2026,2,Línea 1,12198884,22099.427536231884
2010,1,Línea 3,18200686,28349.978193146417
2020,4,Línea A,2690498,10001.85130111524
2022,5,Línea 6,2953712,8870.006006006006
2021,10,Línea 2,11827742,16291.65564738292
2021,7,Línea B,7427687,11551.612752721618
2023,11,Línea 11,22508,11254.0
2022,5,Línea 5,4850433,12279.577215189873
2021,12,Línea 1,13517796,23028.613287904598
2011,7,Línea 1,20851920,34869.43143812709
2010,7,Línea 7,6911915,16149.334112149532
2021,7,Línea 6,2088156,6214.75
2010,1,Línea 5,5931692,14979.020202020201
2010,1,Línea 4,1797862,5933.5379537953795
2024,6,Línea 11,28878,28878.0
2023,7,Línea 8,10149030,17712.094240837698
2010,11,Línea 5,6957891,18072.444155844158
2011,11,Línea 6,4645452,14249.852760736196
2023,5,Línea 9,8316088,23036.25484764543
2025,2,Línea 1,6007144,16779.73184357542
2011,6,Línea 7,8133968,19552.80769230769
2023,5,Línea 8,10841674,18953.975524475525
2023,3,Línea 5,5432478,13718.378787878788
2011,9,Línea 4,2601353,8729.372483221476
2023,3,Línea 8,11387889,19770.640625
2023,9,Línea 3,13895416,22411.96129032258
2024,2,Línea 8,10030687,18575.346296296295
2021,8,Línea 8,6989799,12072.19170984456
2011,4,Línea 7,7642671,18196.835714285713
2011,9,Línea 6,4565705,14135.309597523219
2023,9,Línea A,6304056,21297.486486486487
2012,4,Línea 4,2173087,7391.452380952381
2023,9,Línea 2,16438758,23517.536480686696
2021,8,Línea 4,1357203,4479.217821782178
2012,4,Línea 8,11039462,19890.922522522524
2010,9,Línea 3,20710387,33350.05958132045
2023,3,Línea 7,6570171,15606.106888361046
2023,3,Línea 3,16011385,24939.85202492212
2010,11,Línea 11,46994,23497.0
2023,3,Línea 1,5262816,21221.032258064515
2010,4,Línea 5,6312480,16568.188976377955
2025,2,Línea 8,8862170,16912.538167938932
2011,9,Línea 1,21141953,35955.70238095238
2024,2,Línea 2,15193475,22376.25184094256
2021,8,Línea 9,5574717,15189.964577656676
2011,4,Línea 3,18002525,29272.39837398374
2012,9,Línea 1,22060873,37014.88758389262
2011,11,Línea 7,8528885,20502.127403846152
2011,11,Línea A,7988973,27266.119453924915
2010,4,Línea 11,2075,2075.0
2011,6,Línea 12,5000,5000.0
2011,11,Línea 3,19682678,32213.875613747954
2023,5,Línea 5,5035802,13114.067708333334
2011,4,Línea 9,8050916,22871.920454545456
2011,6,Línea 6,4253870,12969.115853658537
2025,2,Línea 3,13634904,23712.87652173913
2023,5,Línea 12,3041032,11139.311355311354
2012,6,Línea 6,4469508,13752.332307692308
2011,6,Línea A,7794779,26422.97966101695
2010,4,Línea 1,20129247,34117.36779661017
2012,6,Línea 11,28343,14171.5
2011,4,Línea 5,5674774,14855.429319371728
2011,11,Línea 9,8743154,24909.270655270655
2010,4,Línea 8,11095376,19637.833628318585
2012,6,Línea 7,7364083,17873.98786407767
2012,4,Línea 7,7140121,17288.428571428572
2012,6,Línea B,12695969,20543.63915857605
2011,11,Línea 4,2654190,9027.857142857143
2023,3,Línea B,11283675,17630.7421875
2010,4,Línea 7,6739668,16240.163855421686
2010,6,Línea B,12797516,20808.969105691056
2010,9,Línea 2,22385073,31662.055162659122
2023,5,Línea 11,37825,37825.0
2011,6,Línea 3,19428160,31488.103727714748
2024,2,Línea A,5660272,20000.96113074205
2011,4,Línea 4,2379991,7986.546979865771
2023,9,Línea 6,3437020,10673.975155279502
2025,2,Línea 2,16626515,25268.259878419452
2023,5,Línea 2,17099297,23359.695355191256
2010,4,Línea 3,20139428,32482.948387096774
2021,8,Línea B,7006782,11016.952830188678
2021,8,Línea 5,3840388,9673.521410579346
2012,9,Línea 2,25080024,35524.11331444759
2010,6,Línea 5,6471101,16940.05497382199
2023,5,Línea 4,2236775,7406.539735099338
2023,5,Línea 1,5213191,21542.111570247933
2012,4,Línea 1,20901223,35187.24410774411
2010,11,Línea 7,7494660,18279.658536585364
2012,9,Línea 9,9556451,27149.008522727272
2025,2,Línea B,9580079,16488.948364888125
2010,6,Línea 4,2163565,7284.73063973064
2010,11,Línea 12,12345,12345.0
2010,4,Línea A,6870949,23450.337883959044
2023,5,Línea 7,6441115,15084.578454332554
2010,11,Línea 1,21332631,37035.817708333336
2012,4,Línea A,7698865,26186.615646258502
2012,4,Línea 6,4270943,13141.363076923077
2010,11,Línea 6,4048195,12533.11145510836
2021,8,Línea 2,9728444,13644.381486676017
2025,2,Línea A,5823806,21332.62271062271
2023,3,Línea 9,8668395,23814.271978021978
2011,11,Línea B,13794669,22142.325842696628
2023,9,Línea 12,5164808,12475.381642512077
2023,9,Línea 4,2286527,7724.753378378378
2010,11,Línea A,7243880,24723.139931740614
2012,9,Línea 3,20376291,33240.27895595432
2010,6,Línea 6,3533398,10871.993846153846
2023,9,Línea B,10937547,17641.204838709677
2025,2,Línea 5,4351702,12121.732590529247
2010,4,Línea 2,22166095,31088.492286115008
2021,8,Línea 3,9717707,15207.679186228483
2010,9,Línea 5,6569215,17242.03412073491
2011,9,Línea 12,17345,8672.5
2012,4,Línea 3,17830229,29182.0441898527
2024,2,Línea 1,4658342,16174.798611111111
2023,5,Línea 3,15220018,23893.27786499215
2023,3,Línea 4,2356112,7750.368421052632
2012,6,Línea 8,11689123,20873.433928571427
2023,9,Línea 7,6592092,15884.559036144577
2011,9,Línea A,8062798,27612.321917808218
2011,6,Línea 2,25352417,35909.93909348442
2024,2,Línea B,10470877,17539.15745393635
2024,2,Línea 6,3296968,10533.444089456869
2010,11,Línea B,13450777,21835.676948051947
2010,6,Línea 9,9453094,26779.303116147308
2010,6,Línea 7,7047620,17147.49391727494
2023,3,Línea 6,3598549,10646.594674556212
2011,11,Línea 2,26839971,38124.958806818184
2010,9,Línea 12,24690,12345.0
2010,4,Línea 6,3383520,10507.826086956522
2012,9,Línea A,7958169,27068.602040816328
2010,6,Línea 3,20123172,32352.36655948553
2023,9,Línea 8,10304368,18566.42882882883
2010,6,Línea 2,23251618,33169.21255349501
2011,9,Línea B,13163978,21404.842276422765
2023,3,Línea 2,17264864,23682.941015089164
2024,2,Línea 3,13901255,23130.207986688853
2025,2,Línea 9,7089123,21745.776073619632
2025,2,Línea 12,8674468,16034.136783733826
2021,8,Línea 7,4303998,10032.62937062937
2010,4,Línea 9,8879619,25154.72804532578
2011,9,Línea 9,8705287,24730.928977272728
2011,9,Línea 7,8310950,20026.385542168675
2010,9,Línea B,12815465,20736.998381877023
2023,9,Línea 11,17404,17404.0
2011,11,Línea 5,6121598,15818.082687338501
2011,9,Línea 3,19822048,32022.694668820677
2012,9,Línea 6,5026987,15373.048929663608
2010,9,Línea 9,8531868,23965.921348314605
2010,11,Línea 9,8784916,24886.447592067987
2010,9,Línea 4,2285437,7773.5952380952385
2010,4,Línea 4,2096421,7204.19587628866
2010,4,Línea B,12760144,20647.48220064725
2012,9,Línea 4,2538722,8664.580204778156
2010,11,Línea 8,12121182,21453.41946902655
2023,3,Línea 11,35207,11735.666666666666
2011,11,Línea 1,21227122,36100.54761904762
2012,6,Línea 3,18454291,30055.848534201956
2012,6,Línea 9,8999003,25207.29131652661
2011,11,Línea 8,12514707,22307.85561497326
2012,6,Línea A,7714687,26151.481355932203
2012,4,Línea 2,23494697,33184.60028248587
2010,9,Línea A,6405331,21936.06506849315
2010,9,Línea 1,19733294,33333.26689189189
2025,2,Línea 4,1864560,6755.652173913043
2010,6,Línea A,6744335,23018.20819112628
2024,2,Línea 12,7808278,13893.733096085409
2012,9,Línea 5,5989540,15845.343915343916
2024,2,Línea 7,6804432,16968.658354114712
2024,2,Línea 5,4808051,12924.868279569893
2010,9,Línea 8,11615108,20741.264285714286
2011,9,Línea 8,11877231,21323.57450628366
2011,11,Línea 11,33981,33981.0
2024,2,Línea 11,36247,7249.4
2023,9,Línea 5,5447872,14113.658031088084
2011,6,Línea 1,20945598,35143.62080536913
2010,11,Línea 3,20669462,33230.6463022508
2023,9,Línea 9,7607893,21613.332386363636
2025,2,Línea 7,6866066,17696.046391752578
2023,3,Línea 12,2895409,10803.764925373134
2011,9,Línea 5,6106071,15818.836787564767
2012,9,Línea 8,12247361,22027.627697841726
2010,6,Línea 8,11310163,20269.109318996416
2011,9,Línea 2,25322431,35816.73408769449
2011,4,Línea 8,11318337,20175.288770053477
2012,4,Línea B,12476058,20385.71568627451
2024,2,Línea 4,1971922,6943.387323943662
2011,4,Línea 6,4025678,12541.052959501558
2024,2,Línea 9,6052765,23551.614785992217
2023,3,Línea A,6771493,22571.643333333333
2023,9,Línea 1,5159898,22145.48497854077
2010,11,Línea 4,2370515,8062.976190476191
2012,6,Línea 5,5587914,14628.047120418849
2021,8,Línea 1,11972942,19563.63071895425
2010,6,Línea 1,20608650,34989.219015280134
2012,6,Línea 1,20567931,34860.9
2012,9,Línea 7,8023437,19240.856115107912
2023,5,Línea A,6510375,21557.53311258278
2011,4,Línea 2,24009865,33769.149085794656
2012,4,Línea 11,18474,9237.0
2021,8,Línea 6,1935127,5811.192192192192
2023,5,Línea B,11043923,17095.8560371517
2011,6,Línea 9,8609725,24184.620786516854
2011,11,Línea 12,12345,12345.0
2011,6,Línea 11,7497,7497.0
2025,2,Línea 6,2991801,9972.67
2010,9,Línea 11,133188,44396.0
2023,5,Línea 6,3445477,10163.648967551622
2012,6,Línea 2,24067839,33850.68776371308
2011,6,Línea 8,11559935,20904.041591320074
2012,4,Línea 5,5703099,15047.754617414248
2011,4,Línea A,7717142,26248.78231292517
2012,6,Línea 4,2329674,7791.5518394648825
2011,6,Línea 4,2439037,8324.358361774744
2011,6,Línea 5,5803504,14996.134366925065
2011,4,Línea 1,19845348,33241.788944723616
2011,4,Línea B,12236692,19961.977161500814
2010,9,Línea 6,3768111,11523.275229357798
2021,8,Línea A,4485900,14756.25
2010,6,Línea 11,20400,20400.0
2010,9,Línea 7,6991683,16806.93028846154
2012,9,Línea B,13815494,22319.053311793214
2011,6,Línea B,12923753,20777.737942122185
2010,4,Línea 12,12345,12345.0
2012,4,Línea 9,8483453,24169.381766381768
2010,11,Línea 2,25539625,35870.25983146067
2022,6,Línea A,5703693,19466.529010238908
2021,2,Línea 4,973508,3527.2028985507245
2021,6,Línea B,6314303,10217.318770226537
2021,11,Línea 2,11983081,17366.784057971014
2022,7,Línea B,9572285,14910.101246105918
2023,4,Línea 9,7529109,21450.452991452992
2023,6,Línea 6,3299227,10246.046583850932
2012,2,Línea A,8281116,29056.547368421052
2020,6,Línea 5,2336165,7511.784565916399
2023,1,Línea B,10397202,16373.546456692913
2022,12,Línea 4,2323515,7543.87987012987
2010,2,Línea B,12187899,21233.273519163762
2021,9,Línea 7,4462628,10805.394673123486
2023,4,Línea B,9877127,16086.526058631922
2021,6,Línea 4,1102824,3776.794520547945
2022,6,Línea 11,54650,18216.666666666668
2023,4,Línea A,5870175,20103.33904109589
2015,2,Línea 8,10750350,20834.011627906977
2010,2,Línea 5,6482794,17957.87811634349
2022,12,Línea A,6553942,21701.794701986753
2022,4,Línea 5,4556001,11803.11139896373
2022,12,Línea B,11048920,17399.87401574803
2020,6,Línea 3,6056033,9831.222402597403
2023,4,Línea 12,2567451,9799.431297709923
2012,2,Línea 2,24610281,36032.62225475842
2015,2,Línea 9,9349164,28075.567567567567
2022,7,Línea 3,12534256,19584.775
2020,6,Línea 7,2522521,6930.002747252747
2021,6,Línea 9,4652580,13180.113314447592
2012,2,Línea 9,9052996,26316.8488372093
2022,7,Línea 7,5567500,13069.24882629108
2022,10,Línea 1,5041659,20411.574898785424
2022,8,Línea A,6997864,23019.28947368421
2012,2,Línea 1,20362434,35849.355633802814
2015,2,Línea 7,7494575,19722.565789473683
2022,10,Línea 8,11067396,19180.928942807626
2022,8,Línea 8,10114194,17713.124343257445
2022,8,Línea 5,4960401,12339.305970149253
2022,4,Línea 1,12851598,21708.780405405407
2022,6,Línea 2,14041567,20030.76604850214
2022,10,Línea 9,8861070,24144.604904632153
2021,11,Línea 3,11405759,18220.06230031949
2021,2,Línea A,3620490,13165.418181818182
2021,11,Línea 8,8441251,15127.689964157706
2023,4,Línea 8,10205433,18223.9875
2021,6,Línea 6,1943773,5962.493865030675
2022,7,Línea 11,41820,20910.0
2020,6,Línea 9,3081862,9172.208333333334
2023,1,Línea 7,5988775,14225.118764845605
2020,6,Línea 4,670409,2781.780082987552
2010,2,Línea 2,20862433,31948.59571209801
2021,2,Línea 11,31493,31493.0
2010,2,Línea 7,6340544,16216.225063938618
2022,4,Línea 12,5000,5000.0
2021,2,Línea 3,5704052,9954.715532286213
2022,6,Línea 1,13245611,22336.612141652615
2015,2,Línea 12,4169118,16810.959677419356
2021,2,Línea 2,5098640,10405.387755102041
2020,6,Línea 6,1312848,4527.062068965517
2022,6,Línea 5,4677150,12211.879895561358
2012,2,Línea 6,4792793,15215.215873015874
2021,2,Línea 9,4063459,12276.311178247734
2022,8,Línea 7,6138866,14444.390588235294
2021,11,Línea 12,5000,5000.0
2015,2,Línea 6,3895189,13027.38795986622
2023,1,Línea 11,16543,16543.0
2021,6,Línea 2,9728054,13877.39514978602
2022,10,Línea 2,16926059,23410.869986168742
2021,9,Línea 8,7216191,12863.085561497326
2022,4,Línea B,9102941,14658.520128824477
2015,2,Línea 11,47613,23806.5
2021,6,Línea 1,10431084,17984.627586206898
2022,12,Línea 6,3369133,10057.11343283582
2020,6,Línea 11,1043,1043.0
2021,2,Línea 7,3267544,8509.229166666666
2023,6,Línea 7,6125966,14977.911980440098
2022,6,Línea B,9697948,15794.70358306189
2022,12,Línea 2,16250747,22322.45467032967
2021,9,Línea B,7503601,12122.13408723748
2023,1,Línea 2,14739566,20246.656593406595
2010,2,Línea 8,10422207,19965.91379310345
2022,7,Línea 8,9165494,15748.271477663231
2021,9,Línea 2,10014413,14858.179525222551
2010,2,Línea 4,2023677,7412.736263736264
2022,7,Línea 4,2001502,6540.856209150327
2023,6,Línea 5,4902399,12867.188976377953
2021,2,Línea 6,1315023,4427.686868686868
2022,4,Línea 6,2561296,7880.910769230769
2020,6,Línea 12,3818429,7287.07824427481
2022,12,Línea 5,4916932,12385.219143576825
2015,2,Línea 2,21981968,33055.59097744361
2022,10,Línea A,7120208,23344.94426229508
2022,8,Línea 6,3296262,9988.672727272728
2023,1,Línea 5,4685686,11953.280612244898
2023,6,Línea 4,2157781,7339.391156462585
2023,4,Línea 6,3017282,9341.430340557275
2021,9,Línea 5,3770007,9817.7265625
2023,4,Línea 5,4769456,12324.175710594316
2022,12,Línea 1,4677371,18936.724696356276
2022,10,Línea 3,16022191,25113.152037617554
2015,2,Línea 5,6442319,18096.40168539326
2022,8,Línea 3,15726049,24457.307931570762
2021,6,Línea 11,33183,8295.75
2022,8,Línea 4,2259911,7385.330065359477
2021,9,Línea 3,10079556,16179.062600321027
2022,4,Línea 8,8644363,15519.502692998205
2023,4,Línea 1,4691534,20049.290598290598
2022,7,Línea 6,2697812,8101.537537537538
2022,10,Línea 4,2315659,7518.373376623376
2021,11,Línea A,5013122,16993.633898305085
2021,2,Línea B,5520776,9651.706293706293
2021,2,Línea 1,7627067,13867.394545454545
2023,6,Línea 9,7879559,22071.593837535012
2021,6,Línea 8,6714803,11948.048042704626
2022,7,Línea 5,4229077,10706.524050632912
2022,10,Línea 6,3426352,10047.953079178886
2022,8,Línea 1,4388003,18436.98739495798
2022,6,Línea 7,5803498,14052.053268765134
2021,6,Línea A,4422716,14992.257627118644
2021,6,Línea 12,12345,12345.0
2023,6,Línea 8,10956927,19636.06989247312
2020,6,Línea 2,6533190,10419.76076555024
2010,2,Línea 1,18751931,34094.42
2022,12,Línea 9,7873247,21809.548476454293
2020,6,Línea B,4359986,8582.649606299212
2021,11,Línea 5,4224342,11087.511811023622
2023,1,Línea 4,2152135,7033.1209150326795
2023,6,Línea 12,3008983,11354.65283018868
2023,6,Línea 3,14557591,23366.91974317817
2023,6,Línea 1,5148442,21723.383966244724
2020,6,Línea A,2555704,11616.836363636363
2020,6,Línea 8,3605424,7558.540880503145
2022,4,Línea 7,5244585,12668.079710144928
2021,11,Línea 4,1653510,5586.1824324324325
2021,2,Línea 12,4530913,8298.375457875458
2023,4,Línea 7,5682969,13693.901204819276
2022,10,Línea 7,6445964,15095.934426229509
2022,12,Línea 12,5000,5000.0
2010,2,Línea 9,8579043,25762.891891891893
2021,9,Línea 9,5478283,15431.78309859155
2021,9,Línea 6,2027223,6354.931034482759
2012,2,Línea 3,19531670,32937.04890387858
2015,2,Línea 3,18599944,32235.60485268631
2012,2,Línea B,12924281,21831.555743243243
2022,6,Línea 6,2886957,8882.944615384615
2023,6,Línea 2,16881669,23776.998591549294
2022,6,Línea 8,9416382,16725.367673179397
2015,2,Línea 1,20409216,36575.655913978495
2010,2,Línea 11,30534,30534.0
2022,6,Línea 9,6614771,18738.72804532578
2012,2,Línea 7,7694633,19284.79448621554
2022,12,Línea 3,14065240,21976.9375
2022,7,Línea 2,13678379,18763.208504801096
2022,12,Línea 8,10784350,18658.04498269896
2022,4,Línea A,5313845,18135.98976109215
2023,1,Línea 9,7819720,21541.928374655647
2021,9,Línea 4,1453778,4894.875420875421
2015,2,Línea B,12205343,21300.77312390925
2012,2,Línea 8,11518706,21330.937037037038
2022,12,Línea 7,5904441,13892.802352941177
2021,11,Línea 11,2547,2547.0
2022,7,Línea A,6051171,20036.990066225164
2020,6,Línea 1,7079478,12507.911660777385
2021,9,Línea A,4578871,15734.951890034365
2012,2,Línea 5,5956923,16187.290760869566
2022,4,Línea 4,1697106,5752.901694915255
2022,8,Línea B,10552883,16514.683881064164
2022,6,Línea 3,12918897,20972.23538961039
2023,4,Línea 3,13666835,21972.40353697749
2023,4,Línea 4,2083201,7134.25
2021,6,Línea 3,8994528,14891.602649006623
2023,1,Línea 8,10516128,18225.52512998267
2015,2,Línea A,7604261,27752.777372262775
2023,1,Línea 3,13477336,21291.210110584518
2023,4,Línea 2,15170867,21277.51332398317
2021,2,Línea 8,4851550,9311.996161228408
2022,7,Línea 9,7075521,19438.244505494506
2010,2,Línea 6,3405445,11092.654723127036
2015,2,Línea 4,2334857,8552.589743589744
2010,2,Línea 3,19529514,33555.865979381444
2022,4,Línea 3,12158736,19547.807073954984
2022,6,Línea 4,1843211,6227.064189189189
2022,4,Línea 9,6150848,17624.206303724928
2023,1,Línea 12,1324241,8828.273333333333
2022,10,Línea B,10996274,17426.741679873216
2021,11,Línea 7,4912328,11952.136253041363
2022,7,Línea 1,6598031,19124.727536231883
2021,6,Línea 5,3533646,9226.229765013055
2010,2,Línea A,6233017,22748.23722627737
2022,4,Línea 2,13177797,18639.03394625177
2021,11,Línea 9,6102783,17239.5
2021,11,Línea 1,12197383,21898.35368043088
2023,6,Línea A,6236926,21214.034013605444
2022,8,Línea 2,15968447,21964.85144429161
2021,11,Línea 6,2389395,7329.432515337423
2023,6,Línea B,10397965,16852.455429497568
2012,2,Línea 4,2290444,7925.411764705882
2010,2,Línea 12,5000,5000.0
2023,1,Línea 6,3267050,9665.828402366864
2021,11,Línea B,8867601,14372.124797406806
2021,2,Línea 5,2740683,7763.974504249291
2021,9,Línea 1,12009792,20670.898450946643
2023,1,Línea 1,4996846,20148.572580645163
2022,10,Línea 5,4975782,12565.10606060606
2023,1,Línea A,6252639,20500.455737704917
2021,6,Línea 7,4206812,10210.708737864077
2022,8,Línea 9,7959349,21746.85519125683
2020,5,Línea 12,3116980,6099.765166340509
2017,9,Línea 6,2959213,12381.644351464434
2011,2,Línea 2,24096574,36620.933130699086
2011,2,Línea 8,11093179,21415.403474903476
2021,1,Línea 1,3755255,12816.569965870307
2011,2,Línea 7,7721921,20109.169270833332
2011,2,Línea 9,8127289,24406.273273273273
2011,2,Línea 6,4129436,13539.134426229508
2017,9,Línea A,5882491,27108.2534562212
2011,2,Línea 3,18932048,32697.837651122627
2011,2,Línea 4,2318977,8494.421245421245
2020,5,Línea 7,2000551,5901.330383480826
2022,2,Línea 1,11276537,20690.893577981653
2020,5,Línea 9,2490829,8166.652459016394
2023,2,Línea 3,13986415,24197.949826989618
2022,11,Línea 5,4872189,12655.036363636364
2017,9,Línea 7,6121580,20337.475083056477
2021,1,Línea 4,930018,3444.511111111111
2022,11,Línea 9,8284970,23536.846590909092
2023,2,Línea 2,14641130,22352.870229007633
2021,1,Línea 11,25541,8513.666666666666
2020,5,Línea 4,546782,3037.677777777778
2022,11,Línea 2,16669203,23711.526315789473
2020,5,Línea 2,5168380,8190.776545166403
2017,9,Línea 12,6744383,16058.054761904761
2017,9,Línea 1,14046078,32894.7962529274
2022,2,Línea 2,11403002,17121.624624624623
2022,9,Línea 8,10279452,18258.35168738899
2021,1,Línea 2,1884816,9816.75
2022,9,Línea 7,6000809,14636.119512195122
2022,9,Línea 9,7925451,22451.70254957507
2017,9,Línea 8,7324499,17864.631707317072
2022,9,Línea 1,4516873,19302.87606837607
2023,2,Línea 12,2440150,10041.769547325102
2021,1,Línea 3,1767578,10648.060240963856
2022,2,Línea 8,7431160,14208.718929254303
2022,2,Línea 6,2305819,7635.162251655629
2023,2,Línea 8,10052856,19332.415384615386
2022,2,Línea 11,12094,12094.0
2022,9,Línea 5,4666707,12121.316883116882
2022,11,Línea 4,2052357,7028.619863013699
2021,1,Línea 12,5103938,8394.634868421053
2022,9,Línea 2,15501116,22081.36182336182
2020,5,Línea 11,7229,7229.0
2011,2,Línea 1,19202833,35041.66605839416
2023,2,Línea 5,4682760,12935.801104972375
2023,2,Línea 9,7572147,23015.644376899698
2023,2,Línea 6,3133831,10411.398671096345
2023,2,Línea A,5984056,21919.619047619046
2020,5,Línea 3,4932202,7779.4984227129335
2023,2,Línea 1,4525828,20571.945454545454
2020,5,Línea 8,2889900,6465.10067114094
2011,2,Línea 11,28888,28888.0
2022,11,Línea 7,6392493,15440.804347826086
2023,2,Línea 7,6033637,15550.610824742267
2022,9,Línea A,6834205,23166.79661016949
2022,2,Línea 9,5594561,17056.588414634145
2021,1,Línea A,3762415,12295.47385620915
2021,1,Línea 9,4790921,13419.946778711485
2022,11,Línea 3,15450861,24961.00323101777
2011,2,Línea A,7672890,28003.24817518248
2022,11,Línea B,11028329,17845.192556634305
2020,5,Línea 1,5476281,9573.917832167832
2021,1,Línea 7,3468318,8047.141531322506
2022,9,Línea 3,15219587,24707.121753246753
2020,5,Línea A,2074115,9923.995215311004
2022,2,Línea 4,1418263,5214.202205882353
2021,1,Línea 5,2524586,6993.313019390582
2021,1,Línea 6,1282023,4189.617647058823
2023,2,Línea 4,1962323,7294.881040892194
2022,9,Línea B,10511100,17091.219512195123
2022,2,Línea 3,10346189,17931.003466204507
2017,9,Línea B,8698755,19287.70509977827
2022,9,Línea 6,3368956,10271.207317073171
2022,2,Línea B,7882789,13685.397569444445
2021,1,Línea 8,5064854,8823.787456445993
2017,9,Línea 11,21284,21284.0
2020,5,Línea 5,1931325,7787.600806451613
2017,9,Línea 5,5160110,18561.54676258993
2020,5,Línea B,3594572,7020.6484375
2017,9,Línea 2,15442535,30279.480392156864
2017,9,Línea 9,6423103,24895.748062015504
2017,9,Línea 4,1796139,8201.547945205479
2022,2,Línea 5,3785193,10632.564606741573
2022,9,Línea 4,2279221,7700.070945945946
2022,11,Línea 8,10680825,19279.46750902527
2022,2,Línea A,4559697,16763.591911764706
2011,2,Línea 5,5614652,15905.529745042493
2011,2,Línea B,12230953,21271.22260869565
2022,11,Línea 1,4640169,19578.772151898735
2022,11,Línea 6,3286054,10333.503144654089
2020,5,Línea 6,1092066,3956.7608695652175
2022,11,Línea 11,15480,15480.0
2022,11,Línea A,6576130,22754.77508650519
2021,1,Línea B,5897290,9200.140405616225
2022,2,Línea 7,4503403,11727.611979166666
2017,9,Línea 3,13282641,28938.21568627451
2023,2,Línea B,9943498,17085.048109965635
2022,9,Línea 11,28405,28405.0
