año,mes,tipo_ingreso,ingreso_total
2021,8,Boletos,1.08066815E8
2015,12,Boleto,1266450.0
2021,8,Recargas,2.0762567845999995E8
2015,4,Boletos,2.8610689E8
2019,1,Boleto,618025.0
2016,6,Recarga,2966057.0
2016,1,Recargas,2.6766145129000002E8
2015,6,Recargas,2.5655687793000022E8
2013,3,Tarjeta,42700.0
2019,3,Bóletos,581250.0
2014,1,Boletos,2.9327221E8
2019,5,Boleto,1065055.0
2021,4,Recarga,486440.0
2021,8,Tarj.,735.0
2015,6,Bóletos,1787175.0
2019,5,Recarga,2040572.0
2015,12,Tarjetas,2186920.0
2015,12,Tarj.,2720.0
2021,4,Recargas,2.025456879730791E8
2019,1,Bol.,215875.0
2015,12,Tarjeta,5750.0
2015,12,Rec.,2147031.0
2014,1,Boleto,1561875.0
2014,1,Tarjeta,13640.0
2019,3,Rec.,5065223.0
2016,1,Tarjetas,1789990.0
2016,6,Tarjetas,1215840.0
2015,12,Recargas,2.6528606100000003E8
2019,5,Tarjeta,0.0
2015,6,Tarjeta,13280.0
2019,3,Recargas,2.76375978E8
2019,1,Bóletos,905325.0
2019,5,Bóletos,1472165.0
2015,6,Boletos,2.973301E8
2019,5,Recargas,2.68789684E8
2019,3,Bol.,1557930.0
2015,4,Tarjetas,1360790.0
2015,4,Rec.,217141.0
2013,3,Recarga,1317621.0
2015,4,Bóletos,634275.0
2016,6,Boletos,3.065838E8
2021,4,Tarjeta,11145.0
2019,1,Tarjeta,0.0
2021,8,Recarga,2886956.7
2016,1,Recarga,1128742.0
2015,6,Recarga,2745722.0
2019,1,Tarjetas,1206920.0
2019,5,Boletos,2.4904758E8
2015,4,Recargas,2.4313864948000017E8
2015,4,Bol.,1810775.0
2021,8,Bóletos,141100.0
2016,1,Bóletos,0.0
2015,4,Tarjeta,370.0
2015,4,Boleto,612625.0
2021,4,Boletos,8.057412E7
2015,12,Boletos,3.10380605E8
2019,3,Tarjetas,1171960.0
2014,4,Tarjeta,1330.0
2018,3,Recarga,755707.0
2014,9,Boleto,6301000.0
2013,4,Boletos,1.99820361E8
2018,8,Tarjeta,0.0
2018,3,Boletos,2.53982665E8
2020,9,Bóletos,80950.0
2019,10,Tarj.,33470.0
2019,10,Bol.,206950.0
2014,9,Boletos,2.96101775E8
2017,1,Boleto,3521850.0
2020,5,Tarjetas,1741905.0
2018,3,Boleto,569125.0
2021,3,Boleto,386925.0
2020,9,Boletos,6.4337585E7
2013,4,Tarjetas,2074950.0
2014,11,Tarjetas,1390510.0
2014,4,Boleto,7548130.0
2018,8,Boletos,2.70323465E8
2019,10,Tarjeta,133540.0
2019,7,Boleto,1656425.0
2020,9,Recarga,697691.0
2019,7,Tarj.,0.0
2019,7,Boletos,2.40324935E8
2014,9,Bóletos,128775.0
2013,4,Recargas,1.934375182E8
2020,9,Recargas,2.100882E8
2014,9,Tarjetas,1466800.0
2019,7,Tarjetas,1154760.0
2014,4,Tarjetas,1370810.0
2013,4,Bóletos,962322.0
2013,4,Recarga,2628367.3
2014,9,Tarj.,840.0
2017,1,Recarga,2854912.0
2014,9,Recargas,2.5235020050000027E8
2014,9,Recarga,1172818.0
2020,5,Bol.,135425.0
2021,3,Tarjeta,9210.0
2021,3,Tarjetas,2215320.0
2017,1,Bóletos,1869050.0
2018,3,Recargas,2.96433029E8
2021,3,Bóletos,604250.0
2014,9,Tarjeta,4220.0
2019,10,Recargas,2.89511182E8
2014,11,Boleto,1366100.0
2017,1,Boletos,2.82207585E8
2014,4,Recargas,2.2219158549000022E8
2018,8,Recarga,2463051.0
2019,10,Boletos,2.48624835E8
2017,1,Recargas,2.844311546E8
2017,1,Tarjetas,1804240.0
2014,4,Recarga,1977947.3
2013,4,Tarjeta,10060.0
2018,3,Tarj.,7400.0
