año,mes,linea,afluencia_total,ingreso_total,ingreso_por_pasajero
2023,5,Línea 9,8316088,3.660815553067814E7,4.402088521751831
2022,3,Línea 2,14076418,6.716763383581701E7,4.77164246158483
2021,11,Línea 2,11983081,5.749143504844968E7,4.797717302290595
2023,5,Línea 8,10841674,4.720047302565543E7,4.353614859260243
2023,6,Línea 6,3299227,1.2291194659343068E7,3.7254771070141786
2023,1,Línea B,10397202,4.878194005322956E7,4.691833442615577
2022,1,Línea 4,1383626,6232157.185285422,4.504220927682352
2022,12,Línea 4,2323515,1.016934975497105E7,4.376709319703574
2023,3,Línea 5,5432478,2.3866465441595595E7,4.393292608197511
2023,3,Línea 8,11387889,4.879618402310881E7,4.28491918239709
2022,12,Línea A,6553942,3.221158160443459E7,4.914840809460107
2022,12,Línea B,11048920,5.109342749839737E7,4.624291559573005
2023,3,Línea 7,6570171,3.415239049998186E7,5.198097659860277
2023,3,Línea 3,16011385,6.682087651984395E7,4.173335193666504
2021,12,Línea 6,2558355,1.0237945882212494E7,4.001769059498191
2022,10,Línea 1,5041659,2.3379753462414205E7,4.637313523666358
2021,12,Línea 3,11861074,5.669838173475176E7,4.780206390648247
2022,8,Línea A,6997864,3.4905345001596466E7,4.987999909914864
2023,7,Línea 4,2155782,8788037.663466236,4.076496446981298
2023,7,Línea 7,6005462,3.2900857082095332E7,5.478488929260618
2023,3,Línea 1,5262816,2.1699227305152647E7,4.123121025920847
2022,10,Línea 8,11067396,4.91281675206324E7,4.438999699715489
2021,12,Línea 4,1849291,8133375.176007759,4.398104557913146
2022,8,Línea 8,10114194,4.701514980994024E7,4.6484326689739435
2022,8,Línea 5,4960401,2.30977005633916E7,4.656418012050155
2022,10,Línea 9,8861070,3.949100404864389E7,4.456685710489126
2021,12,Línea B,9724352,4.718887413752426E7,4.852649733115817
2021,11,Línea 3,11405759,5.4512848694540635E7,4.779414390093692
2021,11,Línea 8,8441251,3.7752904566730194E7,4.472430042268639
2022,1,Línea 6,2171367,8011811.797686068,3.689754793955176
2023,7,Línea 12,3605311,1.939348198484358E7,5.379142599582554
2023,5,Línea 5,5035802,2.332148986027711E7,4.631137177410293
2023,1,Línea 7,5988775,3.1251851156281836E7,5.218404624699014
2023,5,Línea 12,3041032,1.5703828634324718E7,5.163980068057396
2022,3,Línea 8,9153374,4.147049366379802E7,4.530623752924115
2023,3,Línea B,11283675,5.184445199954526E7,4.5946424369316965
2022,3,Línea 1,13597153,6.250138071007965E7,4.596652013114778
2022,8,Línea 7,6138866,3.4293892152762294E7,5.586356202067661
2021,11,Línea 12,5000,0.0,0.0
2021,12,Línea 9,6105831,2.89798802710358E7,4.7462630837695645
2023,5,Línea 2,17099297,7.455551158253296E7,4.360150688214431
2022,10,Línea 2,16926059,8.439490253901125E7,4.986092896108377
2022,12,Línea 6,3369133,1.2793459411313E7,3.7972556771469095
2023,5,Línea 4,2236775,9749670.391584853,4.358806939269642
2023,7,Línea 9,7458156,3.3024786400441617E7,4.428009604578078
2023,6,Línea 7,6125966,3.427633268626254E7,5.59525349736883
2022,12,Línea 2,16250747,7.960117756953107E7,4.898308832789722
2023,5,Línea 1,5213191,2.0926566626582395E7,4.014156900559062
2021,12,Línea 2,13051418,6.3747973384387426E7,4.884371444113385
2023,1,Línea 2,14739566,7.3001772224355E7,4.95277623671925
2021,12,Línea 8,9149471,4.11936103310704E7,4.502294212536484
2023,5,Línea 7,6441115,3.493659966499998E7,5.423998743230012
2023,3,Línea 9,8668395,3.766048034585419E7,4.344573631664708
2023,6,Línea 5,4902399,2.110363074844803E7,4.304755844729902
2023,7,Línea 1,5143870,2.1892746181614645E7,4.256084656419125
2022,12,Línea 5,4916932,2.2074037632651053E7,4.489392497730506
2022,10,Línea A,7120208,3.4509670201954454E7,4.846722202771949
2022,3,Línea B,9439860,4.762937780931957E7,5.045559765644784
2022,1,Línea A,4138929,2.484597924314415E7,6.002997210907496
2022,8,Línea 6,3296262,1.3274556598071618E7,4.0271545763266445
2023,1,Línea 5,4685686,2.2331718750690706E7,4.765944357067611
2023,6,Línea 4,2157781,9078326.293050194,4.207251010667994
2022,12,Línea 1,4677371,2.0896416643784054E7,4.467555950508107
2022,10,Línea 3,16022191,7.209743352285321E7,4.499848586429485
2023,7,Línea 5,4614584,2.1097601295592718E7,4.5719400265750325
2022,8,Línea 3,15726049,6.542393843000236E7,4.160227303755849
2023,7,Línea B,10227666,4.823803818214267E7,4.7164268154770275
2023,5,Línea 3,15220018,6.289533908914077E7,4.1324089819828576
2022,8,Línea 4,2259911,9578346.477871934,4.238373315529653
2023,3,Línea 4,2356112,9691656.730934536,4.113410878147786
2022,10,Línea 4,2315659,1.053004022392222E7,4.547319024054154
2021,11,Línea A,5013122,2.7433666981693175E7,5.472371704038556
2023,6,Línea 9,7879559,3.3798940081783056E7,4.289445650674493
2022,10,Línea 6,3426352,1.32808524214876E7,3.8760910792258354
2022,1,Línea 9,5487524,2.5353913066081963E7,4.620282857274422
2022,8,Línea 1,4388003,2.229304333119298E7,5.080453074255642
2022,3,Línea 5,5010006,2.1340102710546117E7,4.259496437837822
2023,3,Línea 6,3598549,1.3795360730366537E7,3.8335897969894357
2022,1,Línea 7,4296613,2.3742559741853286E7,5.525878114192106
2023,6,Línea 8,10956927,4.5525719638995215E7,4.154971520664071
2023,3,Línea 2,17264864,7.700677518104751E7,4.46031750849862
2022,12,Línea 9,7873247,3.448111406275959E7,4.379529063772494
2021,12,Línea A,5218251,2.970626584207693E7,5.692762928053275
2021,11,Línea 5,4224342,1.801983932083333E7,4.265715067774657
2023,1,Línea 4,2152135,9485031.907329075,4.407266229734229
2023,6,Línea 12,3008983,1.5233652297522323E7,5.062724614104607
2022,3,Línea 3,13007017,6.099296341368465E7,4.689235311500297
2023,6,Línea 3,14557591,6.342271744919868E7,4.356676695285551
2023,6,Línea 1,5148442,2.1455483988957137E7,4.167374127737506
2021,11,Línea 4,1653510,7240924.300128033,4.3791233800388465
2022,1,Línea 2,10844764,5.444851203144916E7,5.020718941550887
2022,10,Línea 7,6445964,3.602165231922027E7,5.588249068598625
2022,12,Línea 12,5000,12000.0,2.4
2023,6,Línea 2,16881669,7.671949001029854E7,4.544544144912362
2023,7,Línea 3,13444853,6.251404750583646E7,4.649663890400026
2022,3,Línea 9,6839156,3.1371270751172803E7,4.587009091644174
2022,3,Línea A,5716439,2.9742609237262934E7,5.202995997554235
2022,1,Línea 3,10212687,4.843117143419182E7,4.74225553316104
2022,12,Línea 3,14065240,6.3275497488437474E7,4.498714383006438
2022,1,Línea B,7804945,3.902231459702999E7,4.999691169768652
2023,7,Línea 6,3040721,1.1840051929685496E7,3.89383042037908
2022,12,Línea 8,10784350,4.745248588234529E7,4.40012479957951
2023,1,Línea 9,7819720,3.5060000677428804E7,4.483536581543688
2021,12,Línea 7,5039561,2.822223551406181E7,5.6001376933549984
2022,12,Línea 7,5904441,3.2540442341272663E7,5.511180879150569
2022,8,Línea B,10552883,5.329110149179886E7,5.0499092515096455
2023,7,Línea A,5988318,2.9561030448915437E7,4.9364496756711045
2022,3,Línea 7,5467862,2.9983176420077976E7,5.483528373627201
2023,7,Línea 2,16588692,7.629082742415307E7,4.598965815035512
2023,3,Línea 12,2895409,1.3292439677483648E7,4.5908677072854465
2023,1,Línea 8,10516128,4.558331078407857E7,4.334609733171617
2022,1,Línea 1,11820202,5.320427615435964E7,4.501130873597561
2023,1,Línea 3,13477336,6.0402396140940085E7,4.481775637332191
2022,3,Línea 6,2839267,1.129866807636289E7,3.979431337863924
2023,3,Línea A,6771493,3.2604066620701242E7,4.814900734697835
2023,1,Línea 12,1324241,6535659.734082687,4.935400530630517
2022,1,Línea 5,3824678,1.6248700034869034E7,4.248383794627688
2021,12,Línea 5,4472051,1.961016306874009E7,4.3850490678080565
2023,5,Línea A,6510375,3.2421451640792638E7,4.97996684381355
2022,10,Línea B,10996274,5.397848552497429E7,4.90879779141319
2022,3,Línea 4,1826095,8053323.571490436,4.410133958797563
2021,11,Línea 7,4912328,2.645299942719511E7,5.385023033314369
2023,5,Línea B,11043923,5.192642241854152E7,4.701809530774664
2022,1,Línea 8,7495933,3.430564171404946E7,4.5765672817579155
2021,11,Línea 9,6102783,2.79700731213493E7,4.583166912759196
2023,5,Línea 6,3445477,1.3457776601592995E7,3.90592553704262
2023,6,Línea A,6236926,3.0734036017382115E7,4.927753835364107
2021,11,Línea 1,12197383,5.610490423102693E7,4.599749325820706
2022,8,Línea 2,15968447,7.846947759463371E7,4.914033130124283
2023,6,Línea B,10397965,4.718921571789033E7,4.538312613851876
2021,11,Línea 6,2389395,9573777.469824921,4.006778900024869
2023,1,Línea 6,3267050,1.2801489105865741E7,3.9183633877246264
2021,11,Línea B,8867601,4.396438688737156E7,4.957867058674783
2021,12,Línea 1,13517796,6.136540957399672E7,4.539601690541618
2022,10,Línea 5,4975782,2.369833763590855E7,4.762736316805791
2023,1,Línea 1,4996846,2.152305836364288E7,4.3073287356950525
2023,1,Línea A,6252639,3.0573344904671725E7,4.889670570245896
2023,7,Línea 8,10149030,4.074441230121271E7,4.014611475304804
2022,8,Línea 9,7959349,3.571886927808645E7,4.4876621540387855
2022,6,Línea A,5703693,2.8209996088260345E7,4.945917686709356
2021,5,Línea B,6574795,2.997394733801277E7,4.558917401685188
2022,7,Línea B,9572285,4.59307637918819E7,4.79830717450242
2023,4,Línea 9,7529109,3.0816292494835578E7,4.0929534284648525
2022,5,Línea B,10107166,4.9644039994282804E7,4.911766561891118
2013,7,Línea B,13552312,3.87458415E7,2.8589838766994147
2021,5,Línea 9,4555079,2.0711858554119803E7,4.546981194863975
2023,4,Línea B,9877127,4.573697231200151E7,4.630594737923438
2016,12,Línea 1,21798114,8.9199193E7,4.092060120430602
2023,4,Línea A,5870175,2.9206098911650278E7,4.975337006418084
2022,4,Línea 5,4556001,1.9225314020226996E7,4.219778270511134
2021,5,Línea 2,9200070,4.223096322971487E7,4.590287164088411
2023,4,Línea 12,2567451,1.3465480870998899E7,5.244688553354631
2013,7,Línea 2,24464319,6.756920769999999E7,2.761949257610645
2021,5,Línea 6,1905449,6674480.959886118,3.502838942362728
2022,7,Línea 3,12534256,5.760763563402944E7,4.596015561995019
2022,5,Línea 2,14515442,6.6967096565249786E7,4.613507226665904
2021,5,Línea 12,460978,2703062.0,5.863754886350325
2022,5,Línea 7,5785887,3.2099620843702793E7,5.547916999364626
2022,7,Línea 7,5567500,2.934808315044679E7,5.271321625585414
2016,12,Línea B,13162384,6.0000328E7,4.5584696510905625
2022,2,Línea 1,11276537,5.179335420586422E7,4.593019488683824
2013,7,Línea 12,7820305,2.8973569900000002E7,3.7049155883306346
2022,4,Línea 1,12851598,6.0011981332412936E7,4.669612396249318
2022,6,Línea 2,14041567,6.875233423949319E7,4.896343423742748
2021,5,Línea 1,10153486,4.259229498704229E7,4.194844508284376
2023,2,Línea 3,13986415,5.831655601410529E7,4.169514204612496
2022,11,Línea 5,4872189,2.171479447551343E7,4.456886724943025
2023,4,Línea 8,10205433,4.13134951470526E7,4.048186406892545
2022,5,Línea 4,1880966,8075524.300397133,4.293285631105046
2016,12,Línea 2,23818883,9.4859773E7,3.982544983322686
2022,4,Línea 12,5000,0.0,0.0
2022,6,Línea 1,13245611,6.1084833281691246E7,4.6117037018293265
2022,11,Línea 9,8284970,3.398453458254799E7,4.101950228250433
2023,2,Línea 2,14641130,7.026928060072584E7,4.799443799810933
2022,11,Línea 2,16669203,7.646487806941567E7,4.5871946048899686
2022,6,Línea 5,4677150,2.0336345059046995E7,4.348020708988806
2016,12,Línea 9,9474921,3.5841671E7,3.7827936507333413
2021,5,Línea A,4457442,2.4143510026045658E7,5.416449619769737
2013,7,Línea 5,6679159,1.73399285E7,2.596124527054978
2021,5,Línea 7,4136157,2.137956051662357E7,5.168943180015549
2022,2,Línea 2,11403002,5.7357803629046656E7,5.030061700335285
2022,9,Línea 8,10279452,4.3629782939645484E7,4.244368565527179
2022,4,Línea B,9102941,4.342405850253314E7,4.770332852045634
2022,9,Línea 7,6000809,3.348387248607681E7,5.579893058765378
2022,9,Línea 9,7925451,3.547516122649977E7,4.476106309470562
2022,5,Línea 9,7005274,3.1594786883110337E7,4.51014291276977
2022,6,Línea B,9697948,4.665617819058692E7,4.810933012899937
2022,9,Línea 1,4516873,2.1125793731457837E7,4.677083843503644
2023,2,Línea 12,2440150,1.16646529749381E7,4.780301610531361
2013,7,Línea 6,3849069,1.15498912E7,3.000697363440354
2022,7,Línea 8,9165494,4.003740603441633E7,4.368275843551513
2022,2,Línea 8,7431160,3.53767276166529E7,4.760592911019666
2021,5,Línea 4,1120927,3517576.395564771,3.1380958756143538
2021,5,Línea 8,6317522,2.5760660339196656E7,4.077652652289403
2022,7,Línea 4,2001502,8243038.312759123,4.118426218289626
2022,2,Línea 6,2305819,9264691.310151614,4.017961214714431
2023,2,Línea 8,10052856,4.331556895676699E7,4.308782395447323
2022,4,Línea 6,2561296,1.0373428786223045E7,4.050070271543408
2016,12,Línea 6,4063896,1.8587604E7,4.5738385037412375
2023,4,Línea 6,3017282,1.1329766084839243E7,3.754957635659923
2022,5,Línea 3,13416578,6.451284675376877E7,4.80844271570357
2022,11,Línea 4,2052357,9062509.04396307,4.415659187930301
2022,9,Línea 5,4666707,2.210881599042135E7,4.737562480443137
2013,7,Línea 9,9907158,2.47537529E7,2.4985725371494025
2023,4,Línea 5,4769456,2.0760132101445887E7,4.352725363531163
2016,12,Línea 12,9201615,4.58430981E7,4.982070875601729
2022,9,Línea 2,15501116,7.369457511309901E7,4.754146418432002
2016,12,Línea 4,2828940,1.3415499E7,4.74223525419415
2022,5,Línea A,5927959,2.9193172018086765E7,4.924658220154148
2023,2,Línea 5,4682760,2.038816748898715E7,4.353878372794496
2023,2,Línea 9,7572147,3.2982395509911094E7,4.3557521413558264
2023,2,Línea 6,3133831,1.2146347844246041E7,3.8758783879047853
2023,2,Línea A,5984056,2.976592219350875E7,4.97420515341246
2023,4,Línea 1,4691534,2.0130357894923035E7,4.290783759623832
2022,7,Línea 6,2697812,1.0501619185696676E7,3.892643069901341
2022,4,Línea 8,8644363,3.95132977578848E7,4.57099010741275
2013,7,Línea 1,22454409,6.199593243E7,2.7609692345944175
2022,7,Línea 5,4229077,1.8927665278105684E7,4.475601952413182
2023,2,Línea 1,4525828,1.9023741041827306E7,4.203372519200311
2022,6,Línea 7,5803498,3.075114888935391E7,5.298726542053415
2022,11,Línea 7,6392493,3.2777152597394485E7,5.127444425421269
2023,2,Línea 7,6033637,3.062414905140225E7,5.075570348597744
2022,9,Línea A,6834205,3.3279042056045827E7,4.869482559572887
2022,5,Línea 1,13645106,6.4036154290708154E7,4.69297594981733
2022,2,Línea 9,5594561,2.5460051258197486E7,4.550857745263209
2022,4,Línea 7,5244585,2.8504461781976636E7,5.435027134077651
2022,11,Línea 3,15450861,6.690759399804922E7,4.330347286021745
2022,11,Línea B,11028329,4.806498850621073E7,4.358320150424487
2021,5,Línea 3,8921860,4.385497181750814E7,4.915451690287467
2023,4,Línea 7,5682969,2.8026881795362856E7,4.931732303196244
2022,9,Línea 3,15219587,6.4607759418385014E7,4.245040250986115
2022,6,Línea 6,2886957,1.0891052582418462E7,3.7725025285857954
2022,6,Línea 8,9416382,4.208954675462295E7,4.469821504121535
2022,2,Línea 4,1418263,6508947.670320876,4.589379875468003
2016,12,Línea 8,11639538,5.1246195E7,4.4027688212367195
2013,7,Línea 3,19347278,5.287224059E7,2.7327999623512933
2022,6,Línea 9,6614771,3.0772123552993912E7,4.652031574939467
2016,12,Línea 7,8576835,4.036304E7,4.706052990409632
2022,5,Línea 8,9220335,4.189568558109367E7,4.5438355093490275
