año,mes,linea,afluencia_total,ingreso_total,ingreso_por_pasajero
2020,7,Línea 1,8990773,3.9104964E7,4.349455158082625
2014,3,Línea B,13363463,5.665418829999999E7,4.239484054395181
2020,7,Línea 12,5001879,2.2754238E7,4.54913803392685
2014,6,Línea 4,2381038,1.14376355E7,4.803634171315199
2014,1,Línea 4,2451183,1.08267765E7,4.416959688444314
2020,10,Línea B,7331846,3.0074118E7,4.101848020266656
2013,5,Línea 1,22622320,6.019183681E7,2.6607278479837615
2018,5,Línea 12,10570227,5.4269957E7,5.134228148553479
2015,8,Línea 1,22798836,9.728243E7,4.266991086737937
2018,7,Línea 1,20062325,7.8294515E7,3.902564383739173
2014,6,Línea A,7817995,2.4157964200000007E7,3.090046002843441
2014,1,Línea 7,7845674,3.4817614400000006E7,4.4378104927632736
2013,5,Línea 8,10909128,3.1975771299999997E7,2.9311024034184947
2013,11,Línea 3,20841715,5.632766070000001E7,2.702640387319374
2020,10,Línea 5,3554076,1.4618692E7,4.1132187381474115
2020,12,Línea 5,3549970,1.3849968E7,3.9014324064710406
2018,7,Línea 6,4020645,1.6280585E7,4.049247073541683
2014,6,Línea 8,10642884,4.9098550599999994E7,4.613274992004047
2020,7,Línea 6,1625312,5529401.0,3.4020551131105905
2015,8,Línea 5,7138219,2.8374988E7,3.97507949812131
2014,3,Línea 8,10607123,5.008129438999999E7,4.7214776702410255
2014,1,Línea B,13019773,5.3717553E7,4.125844052734252
2014,1,Línea 8,10280862,4.5369003699999996E7,4.412957172268239
2014,1,Línea 2,23230186,8.766434575E7,3.7737255203208444
2018,3,Línea B,12333854,5.3036401E7,4.30006719716319
2021,4,Línea 8,5474561,2.1613820532438777E7,3.9480463424261374
2021,4,Línea 2,8744553,4.290502197094722E7,4.906485439672814
2015,12,Línea 6,3994476,1.9313234E7,4.8349856151345
2013,4,Línea A,7717660,2.27649453E7,2.9497211978760403
2015,4,Línea B,12303004,5.6426235699999996E7,4.586378716937749
2013,3,Línea 6,3781010,1.0549335600000001E7,2.7900840251678787
2016,6,Línea 5,6849201,2.5669374E7,3.7477910197116424
2013,4,Línea 7,8050136,2.665979325E7,3.31171960945753
2015,6,Línea 8,11515595,4.9940798150000006E7,4.336797026119797
2013,4,Línea 12,7061462,2.79670821E7,3.960522920041204
2015,12,Línea 2,23936745,1.01688498E8,4.248217458138106
2019,1,Línea 1,19543824,7.8000147E7,3.9910381407446156
2015,4,Línea 7,7449337,3.8211131400000006E7,5.129467414348419
2019,1,Línea 12,10845196,5.4362718E7,5.012608163098205
2016,6,Línea 9,9887370,3.8321567E7,3.875809947437994
2015,10,Línea 3,20627284,9.2843057E7,4.500983115372824
2015,6,Línea 5,6927287,2.6934610900000002E7,3.888190412783533
2013,3,Línea 7,7472844,2.45183281E7,3.2809902227318006
2019,1,Línea 3,18094810,7.5838145E7,4.191154535471774
2015,4,Línea 6,4010598,1.815388413E7,4.526478128698014
2015,7,Línea 7,8366148,4.13824181E7,4.946412387158343
2015,10,Línea 5,7591134,3.0082507E7,3.9628475798214073
2021,4,Línea 7,3752949,1.8921864729992576E7,5.041865671500619
2021,3,Línea 5,3400790,1.4667795E7,4.313055201879563
2015,4,Línea 5,6968650,2.7672046100000005E7,3.9709335524097216
2015,7,Línea 5,7096421,2.82627139E7,3.9826715325936832
2019,1,Línea 5,6579719,2.4140603E7,3.6689413332089105
2021,4,Línea 5,3321827,1.3824303707398627E7,4.161656735103492
2016,6,Línea 3,19427882,8.3250946E7,4.285127220764466
2015,12,Línea B,13771669,5.96392763E7,4.330577237951333
2013,3,Línea 5,6694213,1.72330688E7,2.5743233446560487
2016,6,Línea 2,23109548,9.5674055E7,4.14002277327103
2015,7,Línea 12,3937866,2.14087674E7,5.436641927378941
2015,4,Línea 4,2431170,1.13854275E7,4.683106282160441
2015,12,Línea 4,2695263,1.2812534E7,4.753723106056811
2019,1,Línea B,12199168,5.2189419E7,4.278112982787023
2015,10,Línea 6,4942620,2.1949967E7,4.4409578320809615
2013,3,Línea A,7153231,2.11908856E7,2.9624215406995806
2015,10,Línea 8,12131549,5.4749704E7,4.513001925805188
2015,10,Línea 7,9302070,4.63694741E7,4.9848554246527925
2013,3,Línea 2,23811690,6.606908839999999E7,2.774649275208941
2015,6,Línea 7,8515355,4.11646642E7,4.834168886675894
2015,10,Línea 9,10265909,3.9410242E7,3.8389432440907085
2021,3,Línea 7,3949327,2.1169346E7,5.360241377834755
2015,12,Línea 7,8167269,3.8807362E7,4.7515714249157215
2018,3,Línea 6,4234158,1.7951971E7,4.239797145028598
2015,12,Línea 1,22459532,8.7278176E7,3.886019352495858
2019,1,Línea 7,8884453,4.1204363E7,4.637805276250547
2015,4,Línea A,7972571,2.48110609E7,3.112052674099735
2018,3,Línea 3,18886633,7.816652E7,4.138721814523531
2015,6,Línea 12,3969476,2.18966324E7,5.5162526237720035
2015,7,Línea 4,2512547,1.1856019E7,4.718725261656797
2021,3,Línea 1,9965022,4.9350299E7,4.952352237656876
2015,7,Línea 8,11518933,5.18821334E7,4.50407458746396
2015,6,Línea 2,23355234,1.0135299888999997E8,4.339626778734051
2013,4,Línea 4,2373993,7246015.5,3.0522480479091554
2019,1,Línea 9,8267867,3.3183894E7,4.0135979449113055
2013,3,Línea 1,20218945,5.7257106599999994E7,2.8318543128733964
2021,4,Línea A,3947049,2.1747838373651322E7,5.509898248957974
2015,7,Línea A,5876143,1.30017611E7,2.2126352439006336
2018,3,Línea 1,18941249,7.5554609E7,3.9888926543334073
2019,1,Línea 8,11008748,4.5040506E7,4.091337725234514
2016,6,Línea 7,8934704,4.2890999E7,4.800494677831521
2015,4,Línea 9,9423424,3.5416456099999994E7,3.758342625780183
2013,4,Línea 8,10828019,3.2799036900000002E7,3.029089337578739
2015,4,Línea 3,19022056,8.188700879999998E7,4.3048453227138
2021,3,Línea 12,5964235,2.994096E7,5.02008388334799
2019,1,Línea A,6447821,2.6035934E7,4.037943050838415
2015,10,Línea 2,25053875,1.06118114E8,4.2355968487908555
2015,10,Línea 4,2830449,1.3586086E7,4.799975551582099
2021,3,Línea 6,1711465,5806921.0,3.392953405415828
2021,4,Línea 6,1683809,5640328.005370862,3.349743352940186
2021,4,Línea 1,9750629,4.47403985594877E7,4.588462811936307
2016,6,Línea 6,4025319,1.8543159E7,4.606630927884225
2018,3,Línea 9,9129307,3.3712209E7,3.692745681572544
2018,3,Línea 12,9878176,5.1954028E7,5.259475838454387
2013,3,Línea 3,19178690,5.45085751E7,2.8421427688752465
2021,3,Línea 4,1132389,3633096.0,3.208346248506476
2015,4,Línea 1,20872812,8.419354579999997E7,4.033646535023646
2015,7,Línea 1,22370978,9.2520896E7,4.135755531117146
2015,4,Línea 8,10773383,4.805495250000001E7,4.460525769853351
2021,4,Línea 9,3941575,1.7267568600213E7,4.380880384164452
2021,3,Línea 3,8014090,4.0397885E7,5.040857414878046
2013,4,Línea 5,7062325,1.79993674E7,2.548646146984173
2013,3,Línea B,13336429,3.61952994E7,2.7140173280268653
2015,10,Línea A,8617480,2.5734245E7,2.9862842733606576
2013,3,Línea 8,10646364,3.12897648E7,2.939009487182666
2016,6,Línea 1,21730025,8.7739486E7,4.037707549807236
2015,12,Línea 12,7435454,4.0828414699999996E7,5.491045294611465
2019,1,Línea 6,4201133,1.738381E7,4.137886136906401
2015,6,Línea 6,4289086,1.9781455E7,4.612044384281407
2015,7,Línea 3,18498978,8.212932589999999E7,4.439668283296514
2021,4,Línea 4,1076083,3054957.6663463293,2.8389609968249006
2021,4,Línea 12,5516099,2.8566403180150483E7,5.178732865409138
